Departamento;Poblacion_1994;Distribucion_1994;Poblacion_2002;Distribucion_2002;Poblacion_2018;Distribucion_2018;Tasa_de_Crecimiento
Total país;8331874;100.0;11237196;100.0;14901286;100.0;1.8
Guatemala;1813825;21.8;2541581;22.6;3015081;20.2;1.1
El Progreso;108400;1.3;139490;1.2;176632;1.2;1.5
Sacatepéquez;180647;2.2;248019;2.2;330469;2.2;1.8
Chimaltenango;314813;3.8;446133;4.0;615776;4.1;2.1
Escuintla;386534;4.6;538746;4.8;733181;4.9;2.0
Santa Rosa;246698;3.0;301370;2.7;396607;2.7;1.8
Sololá;222094;2.7;307661;2.7;421583;2.8;2.0
Totonicapán;272094;3.3;339254;3.0;418569;2.8;1.3
Quetzaltenango;503857;6.0;624716;5.6;799101;5.4;1.6
Suchitepéquez;307187;3.7;403945;3.6;554695;3.7;2.0
Retalhuleu;188764;2.3;241411;2.1;326828;2.2;1.9
San Marcos;645418;7.7;794951;7.1;1032277;6.9;1.7
Huehuetenango;634374;7.6;846544;7.5;1170669;7.9;2.1
Quiché;437669;5.3;655510;5.8;949261;6.4;2.4
Baja Verapaz;155480;1.9;215915;1.9;299476;2.0;2.1
Alta Verapaz;543777;6.5;776246;6.9;1215038;8.2;2.9
Petén;224884;2.7;366735;3.3;545600;3.7;2.5
Izabal;253153;3.0;314306;2.8;408688;2.7;1.7
Zacapa;157008;1.9;200167;1.8;245374;1.6;1.3
Chiquimula;230767;2.8;302485;2.7;415063;2.8;2.0
Jalapa;196940;2.4;242926;2.2;342923;2.3;2.2
Jutiapa;307491;3.7;389085;3.5;488395;3.3;1.5
